# ---
# experiment_id: MOF Synthesis_Aditya_20250724_140536
# experiment_name: MOF Synthesis
# operator_name: Aditya
# target_compound: MOF
# project_id: MOF_Phase1
# sample_type: MOF_synthesis
# solvent: methanol
# temperature_c: 25
# notes: 
# created_at: 2025-07-24T14:05:36.800181
# instrument_serial: 2
# measurement_timestamp: 2025-07-24T14:23:01.856822
# well_id: A1
# slot: Well A1 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 1000
# scans_averaged: 1
# boxcar_width: 0
# dark_id: dark_20250724_142247
# white_id: white_20250724_142253
# wavelength_unit: nm
# absorbance_unit: AU
# ---
wavelength_nm,0 min
194.0,0.6020595446906476
194.6,-0.0
195.1,9.0
195.7,0.4178510502837048
196.2,-0.0
196.8,0.31399503423116454
197.3,-0.0
197.9,0.22807223069227003
198.4,0.0915150143291809
199.0,-0.0
199.5,9.0
200.1,0.1357966127912349
200.6,0.16176549384437652
201.2,-0.0
201.7,0.04844666242099113
202.3,9.0
202.8,0.8901252138775033
203.3,-0.0
203.9,9.0
204.4,9.0
205.0,-0.0
205.5,-0.0
206.1,9.0
206.6,0.6938304817506821
207.2,-0.0
207.7,0.602059737414549
208.3,-0.0
208.8,0.3495143409334256
209.4,9.0
209.9,-0.0
210.4,0.08543025822447199
211.0,-0.0
211.5,1.024823877260267
212.1,9.0
212.6,9.0
213.2,-0.0
213.7,9.0
214.3,0.12076292011170121
214.8,1.832509029557955
215.3,9.0
215.9,0.6517479859448043
216.4,0.48148618209207306
217.0,9.0
217.5,-0.0
218.1,9.0
218.6,0.3467876598659345
219.2,0.10996167320575755
219.7,-0.0
220.2,2.0000001791031994
220.8,9.0
221.3,9.0
221.9,0.4178510733673145
222.4,0.2658929820389452
223.0,0.34678766333658645
223.5,9.0
224.0,9.0
224.6,0.42132368545919713
225.1,-0.0
225.7,9.0
226.2,2.064458191925648
226.8,0.6517479869491288
227.3,0.1338022600267938
227.8,-0.0
228.4,-0.0
228.9,0.3937838833455222
229.5,-0.0
230.0,0.2867895046872826
230.5,-0.0
231.1,0.07768628806686363
231.6,0.035207342972723314
232.2,0.9398130318197065
232.7,9.0
233.2,9.0
233.8,-0.0
234.3,-0.0
234.9,-0.0
235.4,0.3999556573397236
235.9,9.0
236.5,-0.0
237.0,9.0
237.6,9.0
238.1,0.23917777490343325
238.6,9.0
239.2,0.6020602521876429
239.7,9.0
240.3,9.0
240.8,9.0
241.3,9.0
241.9,0.7695512314269587
242.4,9.0
243.0,-0.0
243.5,0.8573323203384906
244.0,0.11718333418727656
244.6,-0.0
245.1,0.14523671673599825
245.6,9.0
246.2,9.0
246.7,9.0
247.3,-0.0
247.8,-0.0
248.3,-0.0
248.9,-0.0
249.4,0.7367588320865787
249.9,-0.0
250.5,0.1357966127912349
251.0,9.0
