# ---
# experiment_id: ZIF-67 Synthesis_Aditya_and_Hardik_20250725_212620
# experiment_name: ZIF-67 Synthesis
# operator_name: Aditya_and_Hardik
# target_compound: ZIF-67
# project_id: None
# sample_type: MOF_synthesis
# solvent: methanol
# temperature_c: 25
# notes: Synthesis of a single vial of MOF - First run
# created_at: 2025-07-25T21:26:20.448687
# instrument_serial: 2
# measurement_timestamp: 2025-07-25T21:28:06.500337
# well_id: A1
# slot: Well A1 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 10000
# scans_averaged: 50
# boxcar_width: 50
# dark_id: dark_20250725_212734
# white_id: white_20250725_212742
# wavelength_unit: nm
# absorbance_unit: AU
# ---
wavelength_nm,0 min
194.0,9.0
194.6,-0.0
195.1,9.0
195.7,-0.0
196.2,-0.0
196.8,9.0
197.3,-0.0
197.9,-0.0
198.4,9.0
199.0,9.0
199.5,9.0
200.1,-0.0
200.6,9.0
201.2,-0.0
201.7,-0.0
202.3,9.0
202.8,9.0
203.3,0.5996163227111188
203.9,-0.0
204.4,0.6682281123694502
205.0,9.0
205.5,9.0
206.1,0.1709604115449864
206.6,9.0
207.2,-0.0
207.7,-0.0
208.3,-0.0
208.8,9.0
209.4,-0.0
209.9,9.0
210.4,-0.0
211.0,-0.0
211.5,-0.0
212.1,-0.0
212.6,9.0
213.2,-0.0
213.7,-0.0
214.3,-0.0
214.8,-0.0
215.3,-0.0
215.9,-0.0
216.4,-0.0
217.0,-0.0
217.5,-0.0
218.1,-0.0
218.6,-0.0
219.2,-0.0
219.7,-0.0
220.2,-0.0
220.8,-0.0
221.3,-0.0
221.9,-0.0
222.4,-0.0
223.0,-0.0
223.5,-0.0
224.0,-0.0
224.6,-0.0
225.1,-0.0
225.7,-0.0
226.2,0.026059044633724403
226.8,-0.0
227.3,-0.0
227.8,-0.0
228.4,9.0
228.9,9.0
229.5,9.0
230.0,-0.0
230.5,-0.0
231.1,0.6553733257424373
231.6,-0.0
232.2,0.21260904011528947
232.7,9.0
233.2,-0.0
233.8,0.3889758559319463
234.3,-0.0
234.9,-0.0
235.4,-0.0
235.9,9.0
236.5,0.5939255530893383
237.0,-0.0
237.6,-0.0
238.1,-0.0
238.6,0.23213219241158084
239.2,-0.0
239.7,0.4007600940095499
240.3,-0.0
240.8,9.0
241.3,-0.0
241.9,-0.0
242.4,-0.0
243.0,-0.0
243.5,-0.0
244.0,-0.0
244.6,-0.0
245.1,9.0
245.6,-0.0
246.2,-0.0
246.7,-0.0
247.3,-0.0
247.8,9.0
248.3,9.0
248.9,-0.0
249.4,-0.0
249.9,-0.0
250.5,9.0
251.0,-0.0
251.5,9.0
252.1,-0.0
252.6,-0.0
253.2,-0.0
253.7,9.0
254.2,-0.0
254.8,-0.0
255.3,-0.0
255.8,-0.0
256.4,9.0
256.9,-0.0
257.4,-0.0
258.0,-0.0
258.5,9.0
259.0,9.0
259.6,-0.0
260.1,-0.0
260.6,-0.0
261.2,-0.0
261.7,9.0
262.2,9.0
262.8,-0.0
263.3,9.0
263.8,-0.0
264.4,-0.0
264.9,-0.0
265.4,-0.0
266.0,-0.0
266.5,-0.0
267.0,-0.0
267.6,-0.0
268.1,-0.0
268.6,-0.0
269.2,-0.0
269.7,-0.0
270.2,-0.0
270.8,9.0
271.3,-0.0
271.8,9.0
272.4,9.0
272.9,9.0
273.4,-0.0
274.0,-0.0
274.5,-0.0
275.0,-0.0
275.6,-0.0
276.1,9.0
276.6,-0.0
277.2,-0.0
277.7,9.0
278.2,-0.0
278.7,9.0
279.3,-0.0
279.8,9.0
280.3,9.0
280.9,9.0
281.4,9.0
281.9,-0.0
282.5,-0.0
283.0,9.0
283.5,9.0
284.0,-0.0
284.6,9.0
285.1,-0.0
285.6,-0.0
286.2,-0.0
286.7,9.0
287.2,-0.0
287.7,-0.0
288.3,9.0
288.8,-0.0
289.3,-0.0
289.9,-0.0
290.4,-0.0
290.9,9.0
291.4,-0.0
292.0,9.0
292.5,-0.0
293.0,9.0
293.5,-0.0
294.1,9.0
294.6,9.0
295.1,-0.0
295.6,-0.0
296.2,9.0
296.7,-0.0
297.2,-0.0
297.8,-0.0
298.3,9.0
298.8,-0.0
299.3,-0.0
299.9,-0.0
300.4,-0.0
300.9,-0.0
301.4,-0.0
302.0,-0.0
302.5,-0.0
303.0,-0.0
303.5,-0.0
304.1,9.0
304.6,-0.0
305.1,9.0
305.6,-0.0
306.2,-0.0
306.7,-0.0
307.2,-0.0
307.7,9.0
308.3,-0.0
308.8,-0.0
309.3,-0.0
309.8,0.08585692615066177
310.3,9.0
310.9,-0.0
311.4,-0.0
311.9,0.22361144306486616
312.4,-0.0
313.0,-0.0
313.5,9.0
314.0,9.0
314.5,9.0
315.0,9.0
315.6,9.0
316.1,9.0
