# ---
# experiment_id: ZIF-67 Synthesis - 5 identical vials_Shuan_20250728_192744
# experiment_name: ZIF-67 Synthesis - 5 identical vials
# operator_name: Shuan
# target_compound: ZIF-67
# project_id: None
# sample_type: MOF_synthesis
# solvent: methanol
# temperature_c: 25
# notes: Synthesis of 5 identical vials of MOF
# created_at: 2025-07-28T19:27:44.279184
# instrument_serial: 2
# measurement_timestamp: 2025-07-28T19:51:20.814612
# well_id: A1
# slot: Well A1 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 10000
# scans_averaged: 50
# boxcar_width: 50
# dark_id: dark_20250728_192915
# white_id: white_20250728_192926
# wavelength_unit: nm
# absorbance_unit: AU
# metal_precursor_name: Co+2
# metal_precursor_vol_ml: 1.66
# organic_precursor_name: 2-methylimidazole
# organic_precursor_vol_ml: 1.0375
# solvent_name: methanol
# solvent_vol_ml: 7.2625
# total_volume_ml: 9.96
# ---
wavelength_nm,0 min,20 min,40 min,60 min,80 min,100 min,120 min,140 min,160 min,180 min,200 min,220 min,240 min
194.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
194.6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
195.1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
195.7,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
196.2,2.14549414135082,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
196.8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
197.3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
197.9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
198.4,1.3167121064128675,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
199.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
199.5,0.8671634367180407,1.3704883151961753,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
200.1,1.0802412997980997,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
200.6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
201.2,0.1165745825956036,0.2037235402147321,0.4188726162054064,0.5905077534060885,0.6625364111477706,0.6138807393580932,0.7023611934881726,0.7980371596770163,0.6715828683834622,0.6715827849234177,0.6240033934097354,0.7173362324722828,0.7435048008802394
201.7,0.7633687997017273,1.3245016979693602,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
202.3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
202.8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
203.3,0.4355819750866397,0.6178576287730259,1.5129991438953247,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
203.9,0.7151105172148445,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
204.4,0.2537882666206725,0.4858666544837114,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
205.0,0.060627708572944,0.2461622323013831,1.0882557246111235,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
205.5,1.5489523113718064,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
206.1,-0.0,-0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
206.6,9.0,9.0,0.211124881875622,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
207.2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.2774064532591074,9.0,9.0,9.0,9.0,1.7431211818405108
207.7,9.0,9.0,9.0,0.9592997256474464,0.8153782194373186,0.8846600644465223,0.7259492406864843,0.6122888507999629,0.7927765863384008,0.7831921295156342,0.8912426130430177,0.7125624451204989,0.6693718912639502
208.3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
208.8,9.0,9.0,1.1301965990353895,0.7466695300360728,0.6871987222186118,0.716979472999508,0.6407457761189869,0.5833545710311916,0.6729456050874103,0.6708378027989396,0.712328087188167,0.6389663880152778,0.6144476347808016
209.4,9.0,9.0,1.2768981117564926,0.8826105371606343,0.8247873728514945,0.855399787686205,0.7788395594234764,0.7199850851729448,0.8105920099612915,0.8057072410955293,0.8496715972021317,0.7765185670487367,0.7497537939857054
209.9,9.0,9.0,1.0205093214869103,0.7622208690661483,0.7157822483950197,0.7396724913936548,0.6782989266672339,0.6315316634208675,0.704909433055802,0.7037179544985537,0.7345330644022091,0.6794230845141254,0.6574834970348462
210.4,9.0,9.0,1.0748694920656534,0.8149774407385717,0.7667071199337219,0.7920006577769123,0.7303290137649573,0.6832252027093793,0.7584462350614823,0.7551412965762543,0.786146874654771,0.7321298564538166,0.7098144418414899
211.0,9.0,9.0,9.0,1.4350850052686306,1.2688570051082209,1.3522483337405806,1.1625909842541284,1.0481755119444989,1.244563017981111,1.235633720433335,1.3255614326571323,1.1690427377457164,1.11163285676721
211.5,9.0,9.0,9.0,9.0,1.826399844105281,2.2729017978397543,1.5383828650877738,1.3124967259181823,1.7811800108878468,1.7338624795713982,2.0597109296525926,1.5506338440939798,1.4305657596462662
212.1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
212.6,9.0,9.0,1.0964149082889172,0.8279238160473635,0.7757820291840356,0.8062953002946456,0.7411543323637757,0.6902483790354336,0.7738129395186985,0.7656651663816613,0.7937711086788426,0.7402106256373406,0.7200707784683497
213.2,9.0,9.0,2.3376777080913342,1.0865817597032574,0.9846179348045624,1.042463217370209,0.9247453913188648,0.8382198954407208,0.97702437747352,0.9649912260995868,1.021834106544137,0.922450589192475,0.8860165599460066
