# ---
# experiment_id: ZIF-67 Synthesis - 5 identical vials_Shuan_20250728_192744
# experiment_name: ZIF-67 Synthesis - 5 identical vials
# operator_name: Shuan
# target_compound: ZIF-67
# project_id: None
# sample_type: MOF_synthesis
# solvent: methanol
# temperature_c: 25
# notes: Synthesis of 5 identical vials of MOF
# created_at: 2025-07-28T19:27:44.279184
# instrument_serial: 2
# measurement_timestamp: 2025-07-28T20:00:47.041227
# well_id: A3
# slot: Well A3 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 10000
# scans_averaged: 50
# boxcar_width: 50
# dark_id: dark_20250728_192915
# white_id: white_20250728_192926
# wavelength_unit: nm
# absorbance_unit: AU
# metal_precursor_name: Co+2
# metal_precursor_vol_ml: 1.66
# organic_precursor_name: 2-methylimidazole
# organic_precursor_vol_ml: 1.0375
# solvent_name: methanol
# solvent_vol_ml: 7.2625
# total_volume_ml: 9.96
# ---
wavelength_nm,0 min,20 min,40 min,60 min,80 min,100 min,120 min,140 min,160 min,180 min,200 min,220 min
194.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
194.6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
195.1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
195.7,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
196.2,1.8145114509071347,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
196.8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
197.3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
197.9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
198.4,1.0456987398890345,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
199.0,1.416391383522586,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
199.5,0.7506541227909178,1.099869630868313,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
200.1,0.9084105990330504,1.5767280000688355,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
200.6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
201.2,0.0852554132151941,0.1686029135791264,0.380979084102126,0.5455119230659352,0.615887353824663,0.6138811197908948,0.6138810359919397,0.6715829586348548,0.6625355558556814,0.6260569045868868,0.6738744863197196,0.727615276191512
201.7,0.6560737193488854,1.0104353620446842,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
202.3,1.3769861150522775,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
202.8,1.306824392060428,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
203.3,0.3761937784509105,0.5372958934012669,1.1928801455640226,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
203.9,0.5473255074241501,1.158206434073481,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
204.4,0.1823304116368215,0.3800743846572224,1.8793165307618127,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
205.0,-0.0,0.1624099177483668,0.7832514586243675,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
205.5,0.5745523547649616,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
206.1,-0.0,-0.0,1.0114592227375736,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
206.6,9.0,9.0,0.4913106153095637,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
207.2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.7332972426486357
207.7,9.0,9.0,9.0,1.202381248761241,0.9174337073420687,0.9378643232197248,0.8890357488646826,0.7638099013736516,0.8153796467260467,0.8613488832190768,0.7605258489523595,0.664099417581859
208.3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
208.8,9.0,9.0,1.4362543217029822,0.8177362940372495,0.7240514849934674,0.7365462232631611,0.7169792177808616,0.6604491777174994,0.6879940526552295,0.7048215407363602,0.6589586869736582,0.6097722704840437
209.4,9.0,9.0,1.6184180962792702,0.9568216114106216,0.8623965735533423,0.8748366402428082,0.8536942416003056,0.7982472711797318,0.825186255818195,0.8433935522421571,0.7945185123235377,0.7440971834718625
209.9,9.0,9.0,1.1796727367503554,0.8126949101514949,0.7461835283904291,0.7568096303165942,0.7396722970797805,0.6943015781787212,0.7157827187041532,0.7307175787479713,0.6919791224276991,0.651112182518008
210.4,9.0,9.0,1.2413036730048947,0.8655023195662394,0.798338244080762,0.8087254544930849,0.7907279955993438,0.7458039839250936,0.7676101995599213,0.7820796907006093,0.7429490840705945,0.7027534994171681
211.0,9.0,9.0,9.0,1.6882785379556176,1.3650965198255978,1.4174633999666169,1.3478658154630692,1.1997042011608223,1.2706795359306655,1.3153285552448786,1.199704353485044,1.0930560003842738
211.5,9.0,9.0,9.0,9.0,2.3843435350558866,9.0,2.2728965710422147,1.633404917849964,1.8554868989329347,2.0650902297234186,1.62941543243444,1.3864068121334583
212.1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
212.6,9.0,9.0,1.3055656708186856,0.8864362290312712,0.8071585074075887,0.8247211571198021,0.8025463272592188,0.7518160844534066,0.7778345677455111,0.7959100593359787,0.7523700144852378,0.7061475116277658
213.2,9.0,9.0,9.0,1.2128687349837743,1.0415577960435187,1.0783102013347752,1.0305546813721889,0.9425997998823652,0.9856767787923488,1.022986670340486,0.9425998930297568,0.860665883769104
213.7,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2.1816307961704267
